FID,OBJECTID,STATE,FIPS,FENAME,CNTYFIPS,SHAPE_Leng,CAMPNAME,NAME,SHAPE_Length,SHAPE_Area
1,1,48,111,DALLAM,48111,257140.7472,,,2.647735292,3912184015
2,128,48,33,BORDEN,48033,193550.9746,,,1.908310805,2338222083
3,129,48,151,FISHER,48151,192880.7017,,,1.901281526,2327124184
4,2,48,421,SHERMAN,48421,195917.2369,,,1.967658717,2399405736
5,130,48,429,STEPHENS,48429,194914.653,,,1.921783177,2378051593
6,3,48,195,HANSFORD,48195,195614.3711,,,1.964691637,2392147566
7,4,48,357,OCHILTREE,48357,195375.0809,,,1.962831452,2386088419
8,131,48,253,JONES,48253,197892.5444,,,1.952898911,2418443346
9,5,48,295,LIPSCOMB,48295,196905.884,,,1.979217965,2422862981
10,132,48,417,SHACKELFORD,48417,194509.3477,,,1.916892828,2362709950
11,6,48,205,HARTLEY,48205,254478.2195,,,2.617311314,3797900675
12,7,48,341,MOORE,48341,194332.651,,,1.950035759,2361005017
13,133,48,467,VAN ZANDT,48467,239334.5748,,,2.358579238,2217735446
14,134,48,257,KAUFMAN,48257,202401.697,,,1.983862092,2081873241
15,8,48,233,HUTCHINSON,48233,192870.7554,,,1.935979221,2322949894
16,135,48,423,SMITH,48423,290847.4501,,,2.848060348,2449539611
17,9,48,393,ROBERTS,48393,195987.6839,,,1.967182748,2398838438
18,10,48,211,HEMPHILL,48211,194740.1498,,,1.953779689,2367347318
19,11,48,359,OLDHAM,48359,257494.5934,,,2.637610044,3892559394
20,136,48,139,ELLIS,48139,223419.7481,,,2.228529277,2455211219
21,12,48,375,POTTER,48375,195605.2638,,,1.958726078,2390288364
22,137,48,251,JOHNSON,48251,184522.2089,,,1.830309468,1894874637
23,13,48,65,CARSON,48065,195725.5114,,,1.957856963,2395789115
24,138,48,221,HOOD,48221,140136.5402,,,1.388803266,1126963380
25,14,48,179,GRAY,48179,196320.1767,,,1.966750578,2409126908
26,139,48,227,HOWARD,48227,193173.2214,,,1.900000062,2332683474
27,15,48,483,WHEELER,48483,194901.2193,,,1.951270252,2373063850
28,140,48,335,MITCHELL,48335,194531.8468,,,1.913415114,2362871012
29,16,48,17,BAILEY,48017,187552.1681,,,1.836924307,2138919333
30,141,48,365,PANOLA,48365,208694.285,,,2.052315429,2118752387
31,17,48,279,LAMB,48279,205449.8763,,,2.030845682,2631013909
32,142,48,353,NOLAN,48353,194023.747,,,1.90804264,2357790540
33,18,48,189,HALE,48189,204180.1891,,,2.018284557,2597514263
34,143,48,143,ERATH,48143,216022.4124,,,2.112887412,2811398325
35,19,48,79,COCHRAN,48079,179612.3495,,,1.767603215,2002848085
36,144,48,133,EASTLAND,48133,199094.7966,,,1.984807824,2404194886
37,20,48,219,HOCKLEY,48219,193813.7898,,,1.921083282,2347044347
38,145,48,441,TAYLOR,48441,194903.0666,,,1.917416525,2371518701
39,21,48,303,LUBBOCK,48303,192988.6584,,,1.912271226,2326776264
40,146,48,401,RUSK,48401,246546.1369,,,2.415630971,2421228500
41,22,48,3,ANDREWS,48003,256944.2838,,,2.57881259,3872328803
42,147,48,59,CALLAHAN,48059,192820.8531,,,1.897187638,2325098171
43,23,48,317,MARTIN,48317,194351.7757,,,1.912631742,2362162075
44,148,48,213,HENDERSON,48213,303480.6213,,,3.101011987,2448127376
45,24,48,141,EL PASO,48141,247774.0721,,,2.432395038,2617042501
46,25,48,229,HUDSPETH,48229,515130.018,,,4.96689646,11791549020
47,149,48,349,NAVARRO,48349,247179.1199,,,2.476631589,2801756550
48,150,48,425,SOMERVELL,48425,91521.55019,,,0.911963985,495040440.2
49,26,48,495,WINKLER,48495,196032.8558,,,1.926177675,2169775976
50,151,48,217,HILL,48217,258998.9599,,,2.567671639,2542393644
51,27,48,135,ECTOR,48135,192892.751,,,1.893306108,2325725652
52,152,48,93,COMANCHE,48093,212116.5518,,,2.088154774,2444388367
53,28,48,329,MIDLAND,48329,192905.2779,,,1.893253802,2326435109
54,29,48,109,CULBERSON,48109,424360.1944,,,4.066779956,9833356181
55,153,48,73,CHEROKEE,48073,361599.1933,,,3.561447019,2739013247
56,30,48,389,REEVES,48389,467573.5941,,,4.519633811,6813756619
57,154,48,35,BOSQUE,48035,257512.8981,,,2.551111099,2586106765
58,31,48,301,LOVING,48301,214341.9085,,,2.138144909,1745782982
59,155,48,1,ANDERSON,48001,365852.7678,,,3.649741983,2780302045
60,32,48,475,WARD,48475,287917.3156,,,2.869213265,2155428356
61,156,48,419,SHELBY,48419,258909.0172,,,2.594084244,2152445613
62,33,48,103,CRANE,48103,241556.4254,,,2.327560712,2026062763
63,34,48,461,UPTON,48461,227183.5803,,,2.205043925,3202730779
64,157,48,173,GLASSCOCK,48173,192810.6039,,,1.892093006,2323756068
65,35,48,243,JEFF DAVIS,48243,338894.0674,,,3.43518107,5841007693
66,158,48,431,STERLING,48431,201149.4659,,,1.946519698,2381922627
67,36,48,377,PRESIDIO,48377,545298.579,,,5.281813386,9950516621
68,159,48,81,COKE,48081,197362.4642,,,1.956240896,2393540928
